rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
1377,Philipp Köhn,CH SUI,GK,Monaco,Ligue 1,28.0,1998.0,19,17,1621,18.0,0,0,0,0,0,0,1,0,0.0,27.0,1.5,73.0,48.0,65.8,9.0,4.0,4.0,5.0,29.4,2.0,0.0,0.0,0,0,,0.0,0.0,,,85,53.0,90.0,17,2,46.0,15,1.79,36,27,9,0.5,0.69,0,0,3,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0
1415,Vladyslav Krapyvtsov,UA UKR,GK,Girona,La Liga,20.0,2005.0,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,6.0,3.97,9.0,4.0,44.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,68,4.0,90.0,1,1,46.0,27,0.0,1,5,-4,-2.65,-2.32,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
1447,Senne Lammens,BE BEL,GK,Manchester Utd,Premier League,23.0,2002.0,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,39.0,1.22,114.0,78.0,69.3,18.0,10.0,4.0,8.0,25.0,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,84.2,90.0,32,0,,3,2.0,62,39,23,0.72,1.39,0,0,4,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.125,0.0,0.03125,0.0
1466,Nicola Leali,IT ITA,GK,Genoa,Serie A,33.0,1993.0,22,21,1847,20.5,0,0,0,0,0,0,2,1,0.0,28.0,1.36,84.0,58.0,69.0,4.0,8.0,9.0,4.0,19.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,84,54.0,86.0,20,1,45.0,15,0.91,21,27,-6,-0.29,-0.06,0,2,2,0,0,1,0,0,GK,0.0,0.0,0.0,0.0975609756097561,0.0975609756097561,0.04878048780487805,0.0,0.0
1484,Bernd Leno,DE GER,GK,Fulham,Premier League,34.0,1992.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,51.0,1.34,146.0,98.0,67.1,15.0,7.0,16.0,9.0,23.7,3.0,0.0,1.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.37,47,51,-4,-0.11,,0,0,6,0,0,1,1,1,GK,0.0,0.0,0.0,0.0,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.0
1485,Donovan Léon,GF GUF,GK,Auxerre,Ligue 1,33.0,1992.0,29,29,2460,27.3,0,0,0,0,0,0,1,2,0.0,35.0,1.28,127.0,95.0,74.0,7.0,9.0,13.0,9.0,31.0,2.0,1.0,0.0,0,0,,0.0,0.0,,,85,80.4,85.0,26,0,,0,1.03,24,35,-11,-0.4,-0.55,0,3,7,0,0,0,2,0,GK,0.0,0.0,0.0,0.10989010989010989,0.2564102564102564,0.0,0.07326007326007326,0.0
1497,Luca Lezzerini,IT ITA,GK,Fiorentina,Serie A,31.0,1995.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0.0,0.0,,,4,0.1,,0,1,4.0,33,1.0,0,0,0,0.0,0.24,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1523,Anthony Lopes,PT POR,GK,Nantes,Ligue 1,35.0,1990.0,31,31,2788,31.0,0,0,0,0,0,0,4,0,0.0,50.0,1.61,142.0,97.0,68.3,4.0,7.0,20.0,6.0,19.4,5.0,0.0,0.0,2,0,0.0,0.06,0.0,0.0,,90,93.9,90.0,30,0,,0,0.59,25,51,-26,-0.84,-2.32,0,1,14,0,0,1,1,0,GK,0.0,0.0,0.0,0.03225806451612903,0.45161290322580644,0.03225806451612903,0.03225806451612903,0.0
1534,Pau López,ES ESP,GK,Real Betis,La Liga,31.0,1994.0,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,11.0,1.22,39.0,29.0,71.8,4.0,2.0,3.0,2.0,22.2,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,23.7,90.0,9,0,,23,1.56,13,11,2,0.22,-0.09,0,0,2,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0
1563,Andriy Lunin,UA UKR,GK,Real Madrid,La Liga,27.0,1999.0,6,6,540,6.0,0,0,0,0,0,0,0,1,0.0,7.0,1.17,23.0,16.0,69.6,3.0,2.0,1.0,1.0,16.7,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,15.8,90.0,6,0,,27,2.0,12,8,4,0.67,-0.52,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
